date,tempm,wspdm,hum,pressurem
2015-07-01 00:00:00,22,18.5,44,1014
2015-07-01 00:20:00,21.0,14.8,56,1014
2015-07-01 00:50:00,21.0,11.1,56,1014
2015-07-01 01:00:00,21,13.0,47,1014
2015-07-01 01:20:00,21.0,11.1,60,1013
2015-07-01 01:50:00,21.0,11.1,56,1014
2015-07-01 02:00:00,21,11.1,48,1014
2015-07-01 02:20:00,21.0,5.6,60,1014
2015-07-01 02:50:00,21.0,18.5,60,1013
2015-07-01 03:00:00,21,20.4,50,1013
2015-07-01 03:20:00,21.0,3.7,60,1013
2015-07-01 03:50:00,21.0,5.6,60,1013
2015-07-01 04:00:00,21,7.4,50,1013
2015-07-01 04:20:00,20.0,7.4,64,1013
2015-07-01 04:50:00,21.0,9.3,60,1013
2015-07-01 05:00:00,21,7.4,50,1013
2015-07-01 05:20:00,21.0,5.6,60,1013
2015-07-01 05:50:00,21.0,9.3,60,1013
2015-07-01 06:00:00,21,7.4,48,1013
2015-07-01 06:20:00,22.0,11.1,57,1013
2015-07-01 06:50:00,23.0,9.3,53,1012
2015-07-01 07:00:00,23,11.1,44,1012
2015-07-01 07:20:00,24.0,11.1,50,1012
2015-07-01 07:50:00,26.0,14.8,44,1012
2015-07-01 08:00:00,26,14.8,32,1012
2015-07-01 08:20:00,27.0,14.8,42,1012
2015-07-01 08:50:00,29.0,9.3,35,1012
2015-07-01 09:00:00,28,13.0,29,1012
2015-07-01 09:20:00,31.0,18.5,31,1011
2015-07-01 09:50:00,32.0,20.4,29,1011
2015-07-01 10:00:00,32,22.2,22,1011
2015-07-01 10:20:00,32.0,20.4,29,1011
2015-07-01 10:50:00,33.0,24.1,29,1011
2015-07-01 11:00:00,34,27.8,21,1011
2015-07-01 11:20:00,34.0,29.6,28,1011
2015-07-01 11:50:00,32.0,27.8,29,1011
2015-07-01 12:00:00,32,25.9,22,1011
2015-07-01 12:20:00,30.0,18.5,37,1011
2015-07-01 12:50:00,30.0,18.5,37,1011
2015-07-01 13:00:00,31,20.4,28,1011
2015-07-01 13:20:00,31.0,24.1,35,1011
2015-07-01 13:50:00,33.0,22.2,31,1011
2015-07-01 14:00:00,33,18.5,24,1011
2015-07-01 14:20:00,35.0,20.4,25,1010
2015-07-01 14:50:00,35.0,24.1,23,1010
2015-07-01 15:00:00,36,22.2,16,1010
2015-07-01 15:20:00,35.0,25.9,23,1010
2015-07-01 15:50:00,34.0,25.9,28,1010
2015-07-01 16:00:00,34,25.9,20,1010
2015-07-01 16:20:00,34.0,25.9,28,1010
2015-07-01 16:50:00,35.0,20.4,26,1010
2015-07-01 17:20:00,34.0,24.1,28,1010
2015-07-01 17:50:00,34.0,25.9,28,1010
2015-07-01 18:00:00,34,27.8,21,1010
2015-07-01 18:20:00,34.0,25.9,24,1010
2015-07-01 18:50:00,33.0,20.4,28,1010
2015-07-01 19:00:00,33,18.5,21,1010
2015-07-01 19:20:00,31.0,20.4,33,1010
2015-07-01 19:50:00,31.0,20.4,33,1010
2015-07-01 20:00:00,31,18.5,23,1011
2015-07-01 20:20:00,30.0,24.1,37,1011
2015-07-01 20:50:00,29.0,18.5,45,1011
2015-07-01 21:00:00,29,18.5,37,1012
2015-07-01 21:20:00,28.0,18.5,48,1012
2015-07-01 21:50:00,27.0,24.1,54,1012
2015-07-01 22:00:00,27,22.2,43,1012
2015-07-01 22:20:00,26.0,24.1,57,1013
2015-07-01 22:50:00,25.0,20.4,61,1013
2015-07-01 23:00:00,25,18.5,50,1013
2015-07-01 23:20:00,24.0,20.4,61,1013
2015-07-01 23:50:00,23.0,14.8,65,1014
